# -- energies of vibrational levels of the excited state
# v  E (eV)
 0  -0.28724406928336390088E+01
 1  -0.25590223756840626557E+01
 2  -0.22651673548723607610E+01
 3  -0.19908129550692141851E+01
 4  -0.17358260148147930391E+01
 5  -0.14999474279659887888E+01
 6  -0.12827876444121240063E+01
 7  -0.10838283661608119068E+01
 8  -0.90246091908634484824E+00
 9  -0.73805028339092115797E+00
10  -0.59002275428374539867E+00
11  -0.45794176058317831446E+00
12  -0.34096260578219911297E+00
13  -0.23282417158815255087E+00
14  -0.11894052386366575635E+00
15   0.79747201566182160382E-02
16   0.14694857942172040444E+00
17   0.29598979837134292703E+00
18   0.45333460189941521268E+00
19   0.53694308145315750025E+00
20   0.61722399254927384771E+00
21   0.78614895205322377070E+00
22   0.96002131892396569413E+00
23   0.97912230880901041097E+00
24   0.11384277282809538434E+01
