# -- energies of vibrational levels of the ground state
# v     E (eV)
  0    -0.40697568290876242614E+01
  1    -0.37304245329699132760E+01
  2    -0.34055434474289350000E+01
  3    -0.30949498555185317450E+01
  4    -0.27984975779615486324E+01
  5    -0.25160484589434055636E+01
  6    -0.22474983322427761756E+01
  7    -0.19927695544842478625E+01
  8    -0.17518089318077239014E+01
  9    -0.15246080337308354213E+01
 10    -0.13112067654151102758E+01
 11    -0.11117105611264661569E+01
 12    -0.92631062588778834144E+00
 13    -0.75530651336401100071E+00
 14    -0.59913019881323847926E+00
 15    -0.45806054436856236123E+00
 16    -0.32879994226318642880E+00
 17    -0.19841901118672178317E+00
 18    -0.56169453948036109081E-01
